State name,District name,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,Households,Rural_Households,Urban_Households,Housholds_with_Electric_Lighting,LPG_or_PNG_Households,Households_with_Internet,Households_with_Computer,Households_with_Television,Households_with_Telephone_Mobile_Phone,Households_with_Car_Jeep_Van,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Male_percentage,Female_percentage,Sex_ratio,Male_literacy_percent,Female_literacy_percent
PUNJAB,FEROZEPUR,43,2029074,1071637,957437,1227511,707070,520441,502390,348522,153868,349662,141899,10042,31070,277615,290671,37105,906408,6844,19358,1090815,454,1143,278,53.0,47.0,89.0,58.0,42.0
PUNJAB,SRI MUKTSAR SAHIB,44,901896,475622,426274,524848,300401,224447,224157,149507,74650,166585,76441,4571,14077,130482,135144,23185,254920,4333,1681,638625,240,744,433,53.0,47.0,90.0,57.0,43.0
PUNJAB,FARIDKOT,45,617508,326671,290837,381285,215767,165518,158863,99946,58917,113549,62103,4348,12276,93053,95758,15528,141363,3125,1227,469789,155,1109,103,53.0,47.0,89.0,57.0,43.0
PUNJAB,BATHINDA,46,1388525,743197,645328,844868,488261,356607,355722,218159,137563,255650,118427,11284,32253,204051,215302,36173,380569,16299,2474,984286,246,1266,559,54.0,46.0,87.0,58.0,42.0
PUNJAB,MANSA,47,769751,408732,361019,423560,244037,179523,196389,145603,50786,140099,39414,2673,10085,102314,111889,12805,156539,10375,917,598443,123,1577,493,53.0,47.0,88.0,58.0,42.0
PUNJAB,PATIALA,48,1895686,1002522,893164,1266791,711052,555739,517369,299279,218090,352929,209192,24274,55105,308440,303548,57008,783306,40043,5683,1059944,245,1914,1410,53.0,47.0,89.0,56.0,44.0
PUNJAB,AMRITSAR,49,2490656,1318408,1172248,1684770,932981,751789,660953,275477,385476,461231,279993,29961,63864,413460,379572,56185,690939,12502,54344,1716935,876,3152,1044,53.0,47.0,89.0,55.0,45.0
PUNJAB,TARN TARAN,50,1119627,589369,530258,666162,376427,289735,267174,222717,44457,186599,73958,4300,13102,162147,155842,15885,60504,3855,6095,1044903,101,650,47,53.0,47.0,90.0,57.0,43.0
PUNJAB,RUPNAGAR,51,684627,357485,327142,502731,278534,224197,208699,148162,60537,129123,67749,6600,17542,111937,114425,17248,304481,14492,2094,361045,118,653,143,52.0,48.0,92.0,55.0,45.0
PUNJAB,S.A.S. NAGAR,52,994628,529253,465375,736575,409944,326631,291335,117293,174042,191578,131701,25944,50857,170839,172826,49154,476276,29488,5342,478908,257,1257,239,53.0,47.0,88.0,56.0,44.0
PUNJAB,SANGRUR,53,1655169,878029,777140,1002077,570413,431664,448944,292156,156788,305557,135280,10736,30955,244837,252535,35264,389410,179116,2406,1077438,268,3222,1038,53.0,47.0,89.0,57.0,43.0
PUNJAB,BARNALA,54,595527,317522,278005,359831,201999,157832,156799,102577,54222,108908,50276,3501,10566,86481,89207,12912,112859,13100,622,467751,108,246,481,53.0,47.0,88.0,56.0,44.0
CHANDIGARH,CHANDIGARH,55,1055450,580663,474787,805438,465346,340092,298367,8911,289456,231204,168344,44283,78113,193932,209783,60494,852574,51447,8720,138329,1160,1960,246,55.0,45.0,82.0,58.0,42.0
UTTARAKHAND,UTTARKASHI,56,330086,168597,161489,215126,128237,86889,121209,112148,9061,52621,21374,602,4104,29400,43020,1637,324859,3554,353,167,563,74,105,51.0,49.0,96.0,60.0,40.0
UTTARAKHAND,CHAMOLI,57,391605,193991,197614,280556,155395,125161,186340,163434,22906,71524,27853,899,5582,46579,59079,2516,385818,4395,428,323,190,11,23,50.0,50.0,102.0,55.0,45.0
UTTARAKHAND,RUDRAPRAYAG,58,242285,114589,127696,170933,91803,79130,117159,112705,4454,49182,19859,418,3082,29622,40057,1111,240170,1486,171,38,9,4,44,47.0,53.0,111.0,54.0,46.0
UTTARAKHAND,TEHRI GARHWAL,59,618931,297986,320945,407994,227406,180588,254236,227059,27177,117239,50929,1366,7831,68294,98205,4324,609835,7374,656,290,32,91,109,48.0,52.0,108.0,56.0,44.0
UTTARAKHAND,DEHRADUN,60,1696694,892199,804495,1259506,702216,557290,497638,228245,269393,310726,233705,25862,71199,260368,278318,48070,1424916,202057,13416,36454,11778,5117,217,53.0,47.0,90.0,56.0,44.0
UTTARAKHAND,PAURI GARHWAL,61,687271,326829,360442,494889,262148,232741,316462,279682,36780,143963,70551,2633,12670,99662,113779,4874,660507,22931,2161,619,58,212,51,48.0,52.0,110.0,53.0,47.0
UTTARAKHAND,PITHORAGARH,62,483439,239306,244133,345550,189623,155927,209943,183687,26256,95421,45365,1344,7932,58954,67332,3008,475105,6015,1401,260,185,13,30,50.0,50.0,102.0,55.0,45.0
UTTARAKHAND,BAGESHWAR,63,259898,124326,135572,179483,97546,81937,99911,96031,3880,47083,13352,435,3595,25873,35364,1149,257509,1440,397,46,102,7,16,48.0,52.0,109.0,54.0,46.0
UTTARAKHAND,ALMORA,64,622506,291081,331425,436497,231604,204893,281138,260056,21082,109876,40199,1830,9858,70237,98610,3396,611250,7752,1895,256,201,31,6,47.0,53.0,114.0,53.0,47.0
UTTARAKHAND,CHAMPAWAT,65,259648,131125,128523,177726,102015,75711,98041,85202,12839,37725,18785,548,3159,22588,31466,1387,249563,8693,870,336,24,28,6,51.0,49.0,98.0,57.0,43.0
UTTARAKHAND,NAINITAL,66,954605,493666,460939,696500,385779,310721,298663,193086,105577,169001,99021,7265,26270,125994,145056,13800,809717,120742,5091,17419,570,356,181,52.0,48.0,93.0,55.0,45.0
UTTARAKHAND,UDHAM SINGH NAGAR,67,1648902,858783,790119,1037839,598525,439314,414659,269406,145253,254802,116576,7883,28053,192243,228966,16841,1104452,372267,6064,162768,505,738,159,52.0,48.0,92.0,58.0,42.0
UTTARAKHAND,HARIDWAR,68,1890422,1005295,885127,1178354,691411,486943,488011,301828,186183,279012,125717,11947,35023,207894,250344,21893,1214935,648119,4878,17364,709,2501,46,53.0,47.0,88.0,59.0,41.0
HARYANA,PANCHKULA,69,561293,299679,261614,405318,229862,175456,164551,70895,93656,103455,69687,18615,32174,88378,92486,29497,490702,23451,2583,40951,1008,1626,90,53.0,47.0,87.0,57.0,43.0
HARYANA,AMBALA,70,1128350,598703,529647,818025,461288,356737,315256,175365,139891,199681,121622,12899,32767,172034,170149,26122,955096,22143,3705,138202,381,4845,110,53.0,47.0,88.0,56.0,44.0
HARYANA,YAMUNANAGAR,71,1214205,646718,567487,832457,474793,357664,357723,214464,143259,217503,109080,8079,25129,168506,175426,20791,984929,138569,3646,84455,161,1555,126,53.0,47.0,88.0,57.0,43.0
HARYANA,KURUKSHETRA,72,964655,510976,453679,646893,370828,276065,291821,203553,88268,171908,90150,7356,21951,143316,145855,20261,805175,15970,1943,140395,214,375,106,53.0,47.0,89.0,57.0,43.0
HARYANA,KAITHAL,73,1074304,571003,503301,646529,385782,260747,306787,231091,75696,187349,62668,3724,15301,140195,153352,12792,974520,8232,1769,87558,265,351,70,53.0,47.0,88.0,60.0,40.0
HARYANA,KARNAL,74,1505324,797712,707612,978013,564516,413497,428602,292682,135920,267223,143133,11163,29253,215813,215865,26238,1341002,31650,2049,126207,532,1516,49,53.0,47.0,89.0,58.0,42.0
HARYANA,PANIPAT,75,1205437,646857,558580,786599,464136,322463,327306,173502,153804,209965,121846,10024,26719,162321,172677,17466,1083936,86622,2261,25064,289,4647,99,54.0,46.0,86.0,59.0,41.0
HARYANA,SONIPAT,76,1450001,781299,668702,998316,589881,408435,417434,283858,133576,253054,126009,9029,30697,192317,207285,22367,1390149,45100,1405,4484,336,6033,29,54.0,46.0,86.0,59.0,41.0
HARYANA,JIND,77,1334152,713006,621146,832758,502049,330709,368000,278335,89665,222462,78386,5263,23750,160742,193577,15836,1276669,23016,889,29103,172,2594,56,53.0,47.0,87.0,60.0,40.0
HARYANA,FATEHABAD,78,942011,495360,446651,557578,327471,230107,258380,203020,55360,153301,51693,3210,13142,107042,136196,14030,779243,8360,996,150969,171,1172,530,53.0,47.0,90.0,59.0,41.0
HARYANA,SIRSA,79,1295189,682582,612607,782897,456968,325929,338792,245476,93316,215527,70538,6287,22706,150315,190983,24468,940255,9524,2186,338962,370,2256,624,53.0,47.0,90.0,58.0,42.0
HARYANA,HISAR,80,1743931,931562,812369,1114311,670200,444111,456126,302013,154113,285004,110495,10132,33400,202588,259276,24642,1701061,21650,1945,12270,334,3620,33,53.0,47.0,87.0,60.0,40.0
