lon,lat,district,State name,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,Households,Rural_Households,Urban_Households,Housholds_with_Electric_Lighting,LPG_or_PNG_Households,Households_with_Internet,Households_with_Computer,Households_with_Television,Households_with_Telephone_Mobile_Phone,Households_with_Car_Jeep_Van,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Male_percentage,Female_percentage,Sex_ratio,Male_literacy_percent,Female_literacy_percent
81.94672765183326,18.256967868327045,MALKANGIRI,ORISSA,399,613192,303624,309568,244706,147001,97705,183723,167884,15839,24604,4738,448,3908,16397,26853,820,600219,1871,10039,213,43,195,35,50.0,50.0,102.0,60.0,40.0
75.48555970333909,17.795817776605293,SOLAPUR,MAHARASHTRA,526,4317756,2227852,2089904,2910676,1651266,1259410,1156231,779929,376302,595560,248255,15145,59296,376000,576726,28219,3795424,441254,9882,1279,35497,28134,568,52.0,48.0,94.0,57.0,43.0
82.69455523005443,17.89197995884053,VISAKHAPATNAM,ANDHRA PRADESH,544,4290589,2138910,2151679,2568249,1422878,1145371,1379340,718847,660493,1010250,495389,45492,124729,666976,657824,46469,4105320,86330,77607,2301,850,2316,286,50.0,50.0,101.0,55.0,45.0
77.22186246371265,17.95448970447439,BIDAR,KARNATAKA,558,1703300,870665,832635,1042673,597198,445475,389403,287134,102269,271439,34924,3971,36072,116314,187983,9724,1289709,335184,35438,1145,30453,680,521,51.0,49.0,96.0,57.0,43.0
74.17799535105712,17.6668192196683,SATARA,MAHARASHTRA,527,3003741,1510842,1492899,2225694,1201034,1024660,975471,774522,200949,562653,271186,14093,57423,374085,463058,36046,2691952,146970,4408,1182,141315,12810,676,50.0,50.0,99.0,54.0,46.0
73.4615055124138,17.269054727303484,RATNAGIRI,MAHARASHTRA,528,1615069,761121,853948,1199392,619012,580380,639362,538538,100824,367352,100860,7752,31062,163470,258015,15191,1307211,187197,1990,230,113467,3347,95,47.0,53.0,112.0,52.0,48.0
76.85865993788069,17.256954691485817,KALABURAGI,KARNATAKA,579,2566326,1301755,1264571,1427368,828359,599009,600007,400704,199303,404767,77334,9752,52483,222126,307848,12872,2011014,513125,8344,826,9589,4865,330,51.0,49.0,97.0,58.0,42.0
74.77440623922824,17.11224442419762,SANGLI,MAHARASHTRA,531,2822143,1435728,1386415,2049467,1121550,927917,853673,626872,226801,485126,227034,13212,49056,310230,415009,29515,2440312,239607,9098,1260,38210,87453,769,51.0,49.0,97.0,55.0,45.0
74.15936509961237,16.475173362491656,KOLHAPUR,MAHARASHTRA,530,3876001,1980658,1895343,2825845,1559760,1266085,1179314,796496,382818,770005,340318,22269,71879,507573,595768,49081,3379906,286558,15573,1570,29766,154882,1274,51.0,49.0,96.0,55.0,45.0
80.80155719230143,16.548523735396344,KRISHNA,ANDHRA PRADESH,547,4517398,2267375,2250023,3009718,1598959,1410759,1476334,909292,567042,1163932,632890,30438,101450,794346,743696,27969,4023678,307043,145598,1393,863,6320,906,50.0,50.0,99.0,53.0,47.0
74.82195820817029,16.11974170041018,BELAGAVI,KARNATAKA,555,4779661,2423063,2356598,3052032,1725548,1326484,1318975,962777,356198,808827,240742,17560,73497,468274,641485,35104,4038331,528412,18418,2037,1086,178310,149,51.0,49.0,97.0,57.0,43.0
76.91236348846103,16.625589158138858,YADGIR,KARNATAKA,580,1174271,590329,583942,510003,306751,203252,262995,207787,55208,156222,18978,1410,13216,61249,118907,4365,997974,155340,8677,331,7970,1519,996,50.0,50.0,99.0,60.0,40.0
75.62898548257954,16.214492871765586,BAGALKOTE,KARNATAKA,556,1889752,950111,939641,1113412,641388,472024,490657,324799,165858,301389,49345,3745,26297,161280,234284,9726,1634229,219991,3433,443,412,25198,166,50.0,50.0,99.0,58.0,42.0
73.74216469824117,16.12640001140991,SINDHUDURG,MAHARASHTRA,529,849651,417332,432319,666067,348289,317778,340836,295847,44989,194228,42540,3517,15721,98475,131855,9264,780384,26264,15471,219,24762,1046,53,49.0,51.0,104.0,52.0,48.0
80.08283053734645,16.29327820541238,GUNTUR,ANDHRA PRADESH,548,4887813,2440521,2447292,2960441,1634726,1325715,1582990,1069877,513113,1186028,648568,19383,80434,816849,733133,17424,4217597,559770,89763,764,323,3282,332,50.0,50.0,100.0,55.0,45.0
81.89408015511432,17.27210427121263,EAST GODAVARI,ANDHRA PRADESH,545,5154296,2569688,2584608,3288577,1716933,1571644,1605841,1199479,406362,1297273,479914,22411,93784,821421,732492,25381,4983330,77777,77825,738,413,4149,403,50.0,50.0,101.0,52.0,48.0
76.89677333491206,16.09322766132284,RAICHUR,KARNATAKA,559,1928812,964511,964301,979769,577213,402556,455848,330446,125402,314547,51443,5200,33903,162411,242634,11104,1634062,272022,10394,538,2265,4156,29,50.0,50.0,100.0,59.0,41.0
79.51499588480364,15.61881774829858,PRAKASAM,ANDHRA PRADESH,549,3397448,1714764,1682684,1904435,1107686,796749,1087575,873486,214089,763746,290947,6151,43611,468022,494689,9071,3150195,220654,18775,266,97,204,206,50.0,50.0,98.0,58.0,42.0
77.99716101465506,15.53127871780914,KURNOOL,ANDHRA PRADESH,552,4053463,2039227,2014236,2127161,1246369,880792,1090835,783853,306982,816721,195001,10081,56478,543044,572406,10622,3328380,670737,33165,737,255,2235,434,50.0,50.0,99.0,59.0,41.0
76.22415888874073,15.560684661139707,KOPPAL,KARNATAKA,560,1389920,699926,689994,809085,468785,340300,337649,272968,64681,223166,31673,2135,15263,113995,166636,6211,1218024,161770,4081,296,85,2898,461,50.0,50.0,99.0,58.0,42.0
75.66487176747317,15.433601881975727,GADAG,KARNATAKA,561,1064570,537147,527423,700177,397178,302999,291972,180066,111906,198064,31959,3373,15625,104708,128416,5205,907750,143665,3432,231,79,5993,74,50.0,50.0,98.0,57.0,43.0
